GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Agendamento Service,br.com.naildesigner.agendamento_service_AgendeNail.controllers,BloqueioHorarioController,97,3,0,0,22,1,6,1,6,1
Agendamento Service,br.com.naildesigner.agendamento_service_AgendeNail.controllers,AgendamentoController,149,3,6,0,43,1,12,1,9,1
Agendamento Service,br.com.naildesigner.agendamento_service_AgendeNail.clients,ServicoDTOForAgendamento,46,0,0,0,19,0,10,0,10,0
Agendamento Service,br.com.naildesigner.agendamento_service_AgendeNail.clients,EmailRequestDto,36,0,0,0,16,0,8,0,8,0
Agendamento Service,br.com.naildesigner.agendamento_service_AgendeNail.models,Agendamento,60,23,0,0,23,11,12,6,12,6
Agendamento Service,br.com.naildesigner.agendamento_service_AgendeNail.models,BloqueioHorario,42,3,0,0,12,1,12,1,12,1
Agendamento Service,br.com.naildesigner.agendamento_service_AgendeNail.config,FeignClientInterceptor,38,3,4,0,6,1,3,1,1,1
Agendamento Service,br.com.naildesigner.agendamento_service_AgendeNail.config,SecurityConfig,0,67,0,0,0,13,0,8,0,8
Agendamento Service,br.com.naildesigner.agendamento_service_AgendeNail,AgendamentoServiceApplication,5,3,0,0,2,1,1,1,1,1
Agendamento Service,br.com.naildesigner.agendamento_service_AgendeNail.enums,AgendamentoStatus,0,27,0,0,0,5,0,1,0,1
Agendamento Service,br.com.naildesigner.agendamento_service_AgendeNail.dtos,BloqueioHorarioDTO,45,0,0,0,13,0,13,0,13,0
Agendamento Service,br.com.naildesigner.agendamento_service_AgendeNail.dtos,AgendamentoRequestDTO,15,0,0,0,1,0,1,0,1,0
Agendamento Service,br.com.naildesigner.agendamento_service_AgendeNail.dtos,AgendamentoDTO,152,0,2,0,42,0,31,0,30,0
Agendamento Service,br.com.naildesigner.agendamento_service_AgendeNail.dtos,DisponibilidadeDTO,26,0,0,0,9,0,6,0,6,0
Agendamento Service,br.com.naildesigner.agendamento_service_AgendeNail.services,BloqueioHorarioService,277,3,36,0,57,1,29,1,11,1
Agendamento Service,br.com.naildesigner.agendamento_service_AgendeNail.services,AgendamentoService,882,34,57,1,179,8,52,4,23,4
Agendamento Service,br.com.naildesigner.agendamento_service_AgendeNail.services,JwtService,94,3,4,0,22,1,12,1,10,1
