GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Authentication Service,br.com.nailDesigner.auth_service.Configs,JwtAuthFilter,72,7,10,0,18,2,6,2,1,2
Authentication Service,br.com.nailDesigner.auth_service.Configs,DataInitializer,131,14,7,1,32,5,5,3,1,3
Authentication Service,br.com.nailDesigner.auth_service.Configs,SecurityConfig,0,87,0,0,0,18,0,9,0,9
Authentication Service,br.com.nailDesigner.auth_service.Services,JwtService,8,139,3,3,1,34,4,10,1,10
Authentication Service,br.com.nailDesigner.auth_service.Services,UserDetailsServiceImpl,61,7,4,0,17,2,3,2,1,2
Authentication Service,br.com.nailDesigner.auth_service,AuthServiceApplication,5,3,0,0,2,1,1,1,1,1
Authentication Service,br.com.nailDesigner.auth_service.Controllers,AuthController.RegisterRequest,15,0,0,0,1,0,1,0,1,0
Authentication Service,br.com.nailDesigner.auth_service.Controllers,AuthController,476,3,54,0,100,1,44,1,17,1
Authentication Service,br.com.nailDesigner.auth_service.Controllers,AuthController.AdminUserResponse,18,0,0,0,1,0,1,0,1,0
Authentication Service,br.com.nailDesigner.auth_service.Controllers,AuthController.LoginRequest,9,0,0,0,1,0,1,0,1,0
Authentication Service,br.com.nailDesigner.auth_service.Controllers,AuthController.LoginResponse,6,0,0,0,1,0,1,0,1,0
Authentication Service,br.com.nailDesigner.auth_service.Models,User,47,36,0,0,21,12,15,4,15,4
Authentication Service,br.com.nailDesigner.auth_service.Models,Role,0,15,0,0,0,3,0,1,0,1
